epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8643,1.49868,2.07739,1.26062,0.9308,0.78047,0.87848,0.53735,1.38807,1.6023,1.28677,0.000663946,0.000663946,0.000663946
2,137.802,1.40592,1.11143,1.28052,0.94607,0.96587,0.98638,0.56662,1.48246,0.86987,1.33913,0.00131744,0.00131744,0.00131744
3,204.078,1.37996,0.87516,1.28272,0.94259,0.89665,0.9602,0.5999,1.35324,0.84746,1.29982,0.00195773,0.00195773,0.00195773
4,270.506,1.37315,0.80101,1.2733,0.9796,0.98331,0.99259,0.63977,1.34123,0.61086,1.23311,0.0019406,0.0019406,0.0019406
5,336.93,1.34045,0.75492,1.27305,0.94544,0.92491,0.97989,0.62045,1.29941,0.67071,1.25218,0.0019208,0.0019208,0.0019208
6,403.504,1.30087,0.7302,1.2646,0.98256,0.96144,0.98944,0.6354,1.24721,0.62108,1.2443,0.001901,0.001901,0.001901
7,464.325,1.28794,0.685,1.24129,0.97244,0.96336,0.99084,0.66511,1.2328,0.57399,1.2042,0.0018812,0.0018812,0.0018812
8,515.683,1.26195,0.66132,1.23139,0.97844,0.97611,0.98448,0.63655,1.28195,0.55335,1.25743,0.0018614,0.0018614,0.0018614
9,566.738,1.26464,0.64836,1.2433,0.98873,0.99317,0.99449,0.66796,1.20998,0.54909,1.21087,0.0018416,0.0018416,0.0018416
10,617.604,1.26079,0.6423,1.23538,0.98259,0.98976,0.99286,0.66881,1.19903,0.53086,1.203,0.0018218,0.0018218,0.0018218
11,669.084,1.23888,0.62104,1.21717,0.98977,0.98635,0.99387,0.67802,1.17199,0.49786,1.17648,0.001802,0.001802,0.001802
12,720.192,1.22642,0.6086,1.22117,0.97303,0.98635,0.99402,0.68988,1.16527,0.49575,1.20221,0.0017822,0.0017822,0.0017822
13,771.55,1.21436,0.60565,1.21142,0.98976,0.98946,0.99263,0.68552,1.17632,0.48138,1.17831,0.0017624,0.0017624,0.0017624
14,822.633,1.20874,0.59047,1.20969,0.98676,0.98635,0.99446,0.6836,1.1692,0.47706,1.19014,0.0017426,0.0017426,0.0017426
15,873.764,1.18869,0.58753,1.20169,0.98988,0.98976,0.99473,0.70503,1.16765,0.5056,1.20763,0.0017228,0.0017228,0.0017228
16,925.184,1.18419,0.57186,1.19679,0.98659,0.98976,0.99418,0.69656,1.14725,0.48702,1.17156,0.001703,0.001703,0.001703
17,976.504,1.17227,0.57242,1.19272,0.98578,0.98635,0.99473,0.67041,1.22706,0.46519,1.23716,0.0016832,0.0016832,0.0016832
18,1027.47,1.20131,0.57085,1.21032,0.9873,0.98635,0.9947,0.70231,1.14361,0.46292,1.18775,0.0016634,0.0016634,0.0016634
19,1078.67,1.17274,0.56339,1.19064,0.99219,0.99659,0.99394,0.71381,1.151,0.45883,1.17338,0.0016436,0.0016436,0.0016436
20,1129.6,1.1658,0.55517,1.1896,0.9888,0.98976,0.99438,0.69922,1.16859,0.45642,1.17835,0.0016238,0.0016238,0.0016238
21,1180.91,1.16918,0.54486,1.18674,0.99276,0.99317,0.99412,0.6966,1.1508,0.46705,1.18064,0.001604,0.001604,0.001604
22,1232,1.17035,0.54329,1.18918,0.98912,1,0.99462,0.69925,1.17247,0.45108,1.18003,0.0015842,0.0015842,0.0015842
23,1283.18,1.16682,0.54319,1.1844,0.99343,0.99317,0.99486,0.7112,1.12771,0.4338,1.16669,0.0015644,0.0015644,0.0015644
24,1334.32,1.15559,0.53115,1.17871,0.976,0.98294,0.99384,0.68779,1.13293,0.45764,1.17876,0.0015446,0.0015446,0.0015446
25,1385.42,1.15393,0.53667,1.17658,0.9913,0.98976,0.99456,0.71174,1.11083,0.43079,1.16083,0.0015248,0.0015248,0.0015248
26,1436.44,1.15874,0.52707,1.18272,0.99319,0.99621,0.99396,0.7213,1.12283,0.42134,1.14989,0.001505,0.001505,0.001505
27,1487.4,1.15141,0.52916,1.18074,0.99317,0.99294,0.99434,0.7185,1.13019,0.43719,1.16158,0.0014852,0.0014852,0.0014852
28,1538.28,1.1386,0.52846,1.17133,0.98924,0.98976,0.9941,0.71956,1.12092,0.41952,1.16216,0.0014654,0.0014654,0.0014654
29,1589.6,1.11856,0.51423,1.16297,0.98648,0.99583,0.99412,0.725,1.09764,0.40909,1.1444,0.0014456,0.0014456,0.0014456
30,1640.68,1.13135,0.50954,1.16595,0.9932,0.99639,0.99393,0.69598,1.13045,0.41959,1.16404,0.0014258,0.0014258,0.0014258
31,1691.71,1.13168,0.51076,1.18088,0.99657,0.993,0.99466,0.70843,1.13545,0.43297,1.17599,0.001406,0.001406,0.001406
32,1742.67,1.12317,0.51937,1.17369,0.98534,1,0.99434,0.7151,1.1173,0.41808,1.16591,0.0013862,0.0013862,0.0013862
33,1793.84,1.12353,0.50978,1.17336,0.98653,0.99974,0.99384,0.71673,1.13829,0.4249,1.16162,0.0013664,0.0013664,0.0013664
34,1845.01,1.10884,0.50625,1.15065,0.98907,0.99659,0.99469,0.72258,1.12654,0.41597,1.16066,0.0013466,0.0013466,0.0013466
35,1896.22,1.11093,0.51128,1.15658,0.98629,1,0.99265,0.71781,1.12219,0.40983,1.15524,0.0013268,0.0013268,0.0013268
36,1947.49,1.12199,0.51016,1.15504,0.98978,0.99317,0.99293,0.70559,1.13678,0.42501,1.17287,0.001307,0.001307,0.001307
37,1998.65,1.11353,0.50636,1.16097,0.9862,1,0.99444,0.71234,1.14762,0.41417,1.183,0.0012872,0.0012872,0.0012872
38,2049.57,1.10144,0.5001,1.15805,0.98905,1,0.99462,0.68998,1.15672,0.42337,1.17678,0.0012674,0.0012674,0.0012674
39,2100.57,1.10766,0.49364,1.15471,0.99319,0.99607,0.99286,0.71587,1.12412,0.39645,1.15855,0.0012476,0.0012476,0.0012476
40,2151.81,1.10872,0.49963,1.16486,0.98648,0.99645,0.99085,0.72281,1.09316,0.40788,1.14278,0.0012278,0.0012278,0.0012278
41,2202.88,1.10091,0.49566,1.14869,0.98965,0.99659,0.99466,0.71525,1.1224,0.39912,1.15208,0.001208,0.001208,0.001208
42,2253.77,1.09523,0.48684,1.14818,0.99169,0.99317,0.99452,0.71916,1.1163,0.4138,1.15036,0.0011882,0.0011882,0.0011882
43,2304.7,1.10376,0.49441,1.15237,0.98986,0.99956,0.99419,0.71534,1.13251,0.41312,1.16333,0.0011684,0.0011684,0.0011684
44,2355.63,1.08806,0.48219,1.14259,0.99322,0.99934,0.99375,0.71973,1.11877,0.39661,1.14506,0.0011486,0.0011486,0.0011486
45,2406.7,1.09521,0.48872,1.14648,0.9932,0.99638,0.99405,0.71738,1.10627,0.39928,1.14769,0.0011288,0.0011288,0.0011288
46,2457.79,1.08323,0.48901,1.14861,0.98928,0.99659,0.99339,0.72296,1.08911,0.38685,1.13975,0.001109,0.001109,0.001109
47,2509.26,1.07953,0.47476,1.14332,0.98946,1,0.99455,0.71126,1.09443,0.39077,1.14587,0.0010892,0.0010892,0.0010892
48,2560.13,1.08975,0.48315,1.14574,0.98945,1,0.99431,0.72131,1.11704,0.39538,1.15397,0.0010694,0.0010694,0.0010694
49,2611.09,1.08653,0.48655,1.15075,0.98653,0.99994,0.99409,0.71227,1.09815,0.39987,1.16778,0.0010496,0.0010496,0.0010496
50,2662.37,1.07075,0.47302,1.14322,0.98986,0.99952,0.9949,0.71676,1.12682,0.40363,1.17384,0.0010298,0.0010298,0.0010298
51,2713.38,1.07376,0.46713,1.13847,0.99319,0.99579,0.99493,0.73483,1.10708,0.39233,1.14688,0.00101,0.00101,0.00101
52,2764.59,1.06987,0.47142,1.1392,0.98599,1,0.99424,0.72659,1.08958,0.39393,1.12846,0.0009902,0.0009902,0.0009902
